time,Node01.Gqw,Node01.Gqx,Node01.Gqy,Node01.Gqz,Node01.Lqw,Node01.Lqx,Node01.Lqy,Node01.Lqz,Node01.rx,Node01.ry,Node01.rz,Node01.lx,Node01.ly,Node01.lz,Node01.ax,Node01.ay,Node01.az,Node01.mx,Node01.my,Node01.mz,Node01.gx,Node01.gy,Node01.gz,Node01.temp,Node02.Gqw,Node02.Gqx,Node02.Gqy,Node02.Gqz,Node02.Lqw,Node02.Lqx,Node02.Lqy,Node02.Lqz,Node02.rx,Node02.ry,Node02.rz,Node02.lx,Node02.ly,Node02.lz,Node02.ax,Node02.ay,Node02.az,Node02.mx,Node02.my,Node02.mz,Node02.gx,Node02.gy,Node02.gz,Node02.temp,Node03.Gqw,Node03.Gqx,Node03.Gqy,Node03.Gqz,Node03.Lqw,Node03.Lqx,Node03.Lqy,Node03.Lqz,Node03.rx,Node03.ry,Node03.rz,Node03.lx,Node03.ly,Node03.lz,Node03.ax,Node03.ay,Node03.az,Node03.mx,Node03.my,Node03.mz,Node03.gx,Node03.gy,Node03.gz,Node03.temp,Node04.Gqw,Node04.Gqx,Node04.Gqy,Node04.Gqz,Node04.Lqw,Node04.Lqx,Node04.Lqy,Node04.Lqz,Node04.rx,Node04.ry,Node04.rz,Node04.lx,Node04.ly,Node04.lz,Node04.ax,Node04.ay,Node04.az,Node04.mx,Node04.my,Node04.mz,Node04.gx,Node04.gy,Node04.gz,Node04.temp,Node05.Gqw,Node05.Gqx,Node05.Gqy,Node05.Gqz,Node05.Lqw,Node05.Lqx,Node05.Lqy,Node05.Lqz,Node05.rx,Node05.ry,Node05.rz,Node05.lx,Node05.ly,Node05.lz,Node05.ax,Node05.ay,Node05.az,Node05.mx,Node05.my,Node05.mz,Node05.gx,Node05.gy,Node05.gz,Node05.temp
0,0.987968,-0.011273,-0.152838,-0.020822,1,0,-0,0,0,-0,0,0.003597,-0.000893,0.000042,0.000532,0.990821,0.01686,17.054619,54.726555,-4.25094,0.012818,0.014777,-0.03864,0,0.002639,0.999575,-0.021359,0.019672,1,0,0,0,0,0,0,0.004625,0.000547,-0.001024,0.007537,-1.007325,0.007106,13.626081,-67.038971,2.582474,-0.011663,0.018479,0.036024,0,0.109924,-0.02825,0.993536,0.002215,1,0,0,-0,-0,0,-0,-0.00464,-0.000054,-0.000057,-0.005705,1.000689,0.000064,-29.897478,54.607834,6.351587,0.115116,-0.002088,-0.056713,0,0.611508,0.017012,-0.791029,0.006431,1,0,0,0,0,0,0,-0.00174,-0.000317,0.000047,-0.013669,0.99652,-0.012475,-6.65038,53.226063,-25.238157,-0.061603,0.033278,0.129154,0,0.733137,0.064704,0.065952,0.673776,1,0,0,0,0,0,0,0.008429,-0.000714,-0.000505,0.996425,-0.008897,0.005654,67.753624,2.64545,-3.313018,-0.043255,0.005475,0.036763,0
0.01001,0.987968,-0.01128,-0.152835,-0.020827,1,-0.000008,0.000003,-0.000004,-0.000016,0.000005,-0.000008,0.000733,0.000758,0.000235,-0.001526,0.993062,0.017992,17.054619,54.726555,-4.25094,-0.056788,0.014731,0.030828,28.077389,0.002651,0.999574,-0.021368,0.01968,1,-0.000012,0.000008,0.000009,-0.000024,0.000017,0.000017,0.00173,0.000803,-0.000184,0.006201,-1.00826,0.006355,13.626081,-67.038971,2.582474,-0.150757,0.01864,0.03613,27.952385,0.109921,-0.028248,0.993536,0.00221,1,0.000005,0.000003,0.000001,0.00001,0.000006,0.000003,-0.003469,0.001268,0.000352,-0.004034,1.003287,-0.001075,-29.897478,54.607834,6.351587,0.045847,0.067484,0.012812,29.002417,0.611518,0.017028,-0.791021,0.006442,1,0.000018,0.000013,-0.000006,0.000036,0.000026,-0.000013,-0.002005,0.001349,0.00008,-0.013103,0.999499,-0.010591,-6.65038,53.226063,-25.238157,0.216847,0.033173,-0.080389,28.777411,0.733145,0.064701,0.065948,0.673767,1,-0.000006,-0.000002,-0.000012,-0.000011,-0.000005,-0.000024,0.003966,-0.000138,0.00002,0.9968,-0.007935,0.00603,67.753624,2.64545,-3.313018,0.026008,0.005458,-0.033138,26.664846
0.02002,0.987968,-0.011288,-0.152832,-0.020822,1,-0.000015,0.000006,0.000002,-0.000029,0.000011,0.000004,0.000498,-0.000121,0.000036,-0.001526,0.992128,0.017803,17.400021,55.011642,-4.25094,-0.056389,-0.054881,0.100296,28.077389,0.002651,0.999574,-0.02137,0.01969,1,-0.000012,0.000018,0.000011,-0.000023,0.000036,0.000022,0.001165,0.000413,-0.000248,0.006201,-1.008073,0.006542,14.149811,-66.848557,2.754081,-0.01159,0.018801,-0.03311,27.939884,0.109928,-0.028252,0.993535,0.002206,1,0.00001,-0.000004,-0.000003,0.000019,-0.000008,-0.000006,-0.002038,-0.000755,-0.000114,-0.00422,1.000875,-0.000505,-30.071856,55.075764,6.518188,0.045702,-0.002075,-0.056574,29.014917,0.611501,0.017024,-0.791034,0.006444,1,0.000018,-0.000009,-0.000001,0.000035,-0.000019,-0.000002,-0.001002,-0.000958,-0.000031,-0.013291,0.996706,-0.010968,-7.170385,52.57906,-25.389902,-0.061439,-0.106282,0.058556,29.064919,0.733147,0.064698,0.065941,0.673767,1,-0.000012,-0.000005,-0.000013,-0.000025,-0.000011,-0.000026,0.003043,0.000127,-0.000181,0.997176,-0.008512,0.005842,67.401772,2.547937,-3.22752,0.025926,0.005441,0.106097,26.677345
0.03003,0.987969,-0.011287,-0.152828,-0.020828,1,-0.000015,0.00001,-0.000004,-0.000029,0.000019,-0.000007,0.001306,-0.001114,-0.000239,-0.000403,0.990821,0.017048,17.400021,55.011642,-4.25094,0.013354,-0.054927,-0.038932,28.077389,0.002656,0.999574,-0.021373,0.019693,1,-0.000017,0.000021,0.000014,-0.000034,0.000042,0.000027,0.001573,-0.000422,-0.000583,0.007156,-1.007139,0.007106,14.149811,-66.848557,2.754081,-0.080899,-0.050824,-0.033005,27.939884,0.109933,-0.028257,0.993535,0.002208,1,0.000007,-0.000009,-0.000008,0.000014,-0.000017,-0.000015,-0.000835,-0.000526,-0.000654,-0.004962,1.000875,0.000444,-30.071856,55.075764,6.518188,-0.023568,-0.002288,-0.056615,28.989918,0.611489,0.017043,-0.791043,0.006445,1,0.00003,-0.000024,-0.000015,0.00006,-0.000047,-0.00003,0.000219,-0.000537,-0.000476,-0.014236,0.996892,-0.012098,-7.170385,52.57906,-25.389902,0.077453,-0.03704,-0.150105,29.064919,0.733153,0.06469,0.065931,0.673762,1,-0.000025,-0.000008,-0.00002,-0.00005,-0.000016,-0.00004,0.002043,-0.000171,-0.000518,0.9968,-0.00832,0.005277,67.401772,2.547937,-3.22752,-0.043721,0.005863,0.036417,26.677345
0.04004,0.987973,-0.01128,-0.152804,-0.020826,1,-0.000008,0.000034,-0.000003,-0.000016,0.000069,-0.000005,0.000537,-0.000273,-0.000511,-0.001151,0.991568,0.01686,17.400021,54.536495,-4.081839,0.082877,0.014811,0.030537,28.077389,0.00265,0.999574,-0.021381,0.019699,1,-0.000011,0.000028,0.000022,-0.000022,0.000055,0.000043,0.000661,-0.000161,-0.000476,0.006392,-1.007325,0.007106,13.887946,-67.4198,2.325063,0.058487,0.018682,0.036445,27.939884,0.109935,-0.028259,0.993535,0.002204,1,0.000011,-0.00001,-0.000011,0.000021,-0.00002,-0.000021,-0.001254,-0.000744,-0.000505,-0.00422,1.000504,0.000254,-29.984667,55.075764,6.268286,0.046071,-0.072066,-0.056656,28.989918,0.611488,0.017033,-0.791044,0.006442,1,0.000021,-0.000025,-0.000009,0.000043,-0.00005,-0.000018,-0.000555,-0.000893,-0.000431,-0.014047,0.996333,-0.011156,-6.873239,52.902561,-24.707048,-0.061916,0.032862,0.058845,28.977417,0.733158,0.064678,0.065926,0.673759,1,-0.000037,-0.000005,-0.000027,-0.000074,-0.000009,-0.000053,0.001343,-0.00026,-0.000214,0.996613,-0.007935,0.005465,67.577698,2.93799,-3.313018,-0.043803,0.07541,0.036302,26.677345
0.05005,0.987976,-0.011279,-0.152779,-0.020825,1,-0.000008,0.000059,-0.000001,-0.000016,0.000118,-0.000003,0.000599,0.000076,-0.000378,-0.000964,0.991942,0.01686,17.400021,54.536495,-4.081839,0.01327,0.014765,0.03066,28.064888,0.00265,0.999573,-0.021389,0.019706,1,-0.000011,0.000034,0.00003,-0.000021,0.000068,0.000059,0.001044,0.000153,-0.000527,0.006965,-1.007699,0.007293,13.887946,-67.4198,2.325063,-0.010823,0.018403,0.036549,27.952385,0.109936,-0.028264,0.993534,0.002212,1,0.000002,-0.000012,-0.000014,0.000003,-0.000023,-0.000029,-0.000445,0.000032,-0.000422,-0.004962,1.001246,0.000444,-29.984667,55.075764,6.268286,-0.092985,-0.071838,-0.056697,29.002417,0.611487,0.01703,-0.791045,0.006457,1,0.000031,-0.000026,0.000003,0.000063,-0.000053,0.000006,0.000012,0.000661,-0.000545,-0.014425,0.998009,-0.011721,-6.873239,52.902561,-24.707048,0.14697,0.032758,0.128884,28.814911,0.733163,0.064671,0.065916,0.673754,1,-0.000049,-0.000007,-0.000033,-0.000098,-0.000014,-0.000066,0.000871,0.00011,-0.000754,0.996988,-0.007742,0.004713,67.577698,2.93799,-3.313018,-0.044104,0.005606,0.036407,26.677345
0.06006,0.987973,-0.011277,-0.1528,-0.020825,1,-0.000006,0.000039,-0.000002,-0.000011,0.000077,-0.000003,0.000401,0.001019,0.000125,-0.000964,0.993062,0.017426,17.572721,54.251408,-4.589141,0.013228,-0.124193,-0.039002,28.052389,0.002656,0.999574,-0.021391,0.019702,1,-0.000017,0.00003,0.000032,-0.000033,0.00006,0.000064,0.000237,0.000788,0.000308,0.006201,-1.008447,0.006355,13.887946,-67.134178,2.582474,-0.080354,-0.120785,-0.032912,27.939884,0.109945,-0.028264,0.993533,0.002202,1,0.000012,-0.00002,-0.000016,0.000024,-0.00004,-0.000031,-0.001225,0.000605,0.000425,-0.00422,1.001988,-0.000695,-30.33342,54.795006,6.601489,0.115565,-0.002266,0.013048,29.014917,0.611482,0.017031,-0.791048,0.006458,1,0.000033,-0.000032,0.000003,0.000066,-0.000064,0.000005,-0.000561,0.001154,0.000391,-0.013291,0.998754,-0.011345,-6.798953,52.983437,-25.238157,0.007816,-0.106256,-0.010215,29.08992,0.733172,0.064659,0.065903,0.673747,1,-0.000067,-0.00001,-0.000045,-0.000134,-0.000019,-0.00009,0.001704,0.000175,-0.000006,0.997176,-0.008704,0.005654,67.92955,2.840477,-3.398516,-0.11375,0.005808,-0.033493,26.689846
0.07007,0.987973,-0.011276,-0.152804,-0.020825,1,-0.000004,0.000034,-0.000002,-0.000008,0.000068,-0.000003,0.000466,0.000076,0.00068,-0.00059,0.992128,0.017992,17.572721,54.251408,-4.589141,0.013186,0.084456,-0.038879,28.077389,0.002655,0.999573,-0.0214,0.019704,1,-0.000016,0.000032,0.00004,-0.000033,0.000065,0.000081,0.000361,0.000348,0.000433,0.006392,-1.008073,0.006167,13.887946,-67.134178,2.582474,-0.010536,-0.051058,0.037197,27.927385,0.109948,-0.028259,0.993533,0.002198,1,0.000017,-0.000023,-0.000011,0.000033,-0.000047,-0.000022,-0.000973,0.000841,0.000708,-0.004405,1.002359,-0.001075,-30.33342,54.795006,6.601489,0.045635,0.067307,0.082791,28.989918,0.611482,0.017031,-0.791048,0.006468,1,0.000041,-0.000032,0.000008,0.000082,-0.000064,0.000016,-0.000312,0.000355,0.000355,-0.013291,0.998009,-0.011533,-6.798953,52.983437,-25.238157,0.077143,-0.036575,0.059163,28.977417,0.73318,0.064651,0.065903,0.673739,1,-0.000073,-0.000006,-0.000057,-0.000145,-0.000012,-0.000114,0.00139,-0.000001,0.000491,0.996988,-0.008512,0.006218,67.92955,2.840477,-3.398516,0.025301,0.075575,-0.033387,26.677345
0.08008,0.987974,-0.011283,-0.152795,-0.020824,1,-0.000011,0.000043,-0,-0.000022,0.000086,-0,-0.000051,0.000246,0.000427,-0.001151,0.992315,0.017992,17.400021,54.536495,-4.25094,-0.056201,0.014843,0.031029,28.064888,0.002655,0.999573,-0.021403,0.019715,1,-0.000016,0.000043,0.000044,-0.000031,0.000086,0.000088,0.000146,0.000147,0.000371,0.006201,-1.007886,0.006167,13.800657,-66.46772,2.839885,-0.010502,0.018009,-0.032267,27.952385,0.109946,-0.028263,0.993533,0.002199,1,0.000015,-0.000021,-0.000015,0.000031,-0.000043,-0.000029,-0.000924,-0.000725,0.000582,-0.00422,1.000689,-0.001075,-30.071856,55.16935,6.268286,-0.024074,-0.002252,-0.056381,29.014917,0.61147,0.01703,-0.791058,0.006458,1,0.000033,-0.000048,0.000004,0.000066,-0.000096,0.000007,-0.000435,-0.000345,0.00043,-0.013103,0.997264,-0.011345,-6.947526,52.659935,-24.631176,-0.062439,-0.036899,-0.080154,28.852413,0.733185,0.064652,0.065901,0.673734,1,-0.000073,-0.000008,-0.000063,-0.000146,-0.000017,-0.000126,0.001822,0.000106,-0.000016,0.997176,-0.009282,0.005842,67.665665,2.64545,-3.65501,0.094786,0.00621,0.036503,26.664846
0.09009,0.987975,-0.011283,-0.15279,-0.020822,1,-0.00001,0.000048,0.000002,-0.000021,0.000096,0.000005,0.001239,-0.000993,-0.000048,0.000158,0.991008,0.017048,17.400021,54.536495,-4.25094,0.013102,-0.054329,0.03137,28.08989,0.002642,0.999573,-0.0214,0.019732,1,-0.000003,0.00006,0.000041,-0.000006,0.00012,0.000083,0.00096,-0.000565,-0.000437,0.007156,-1.007139,0.007106,13.800657,-66.46772,2.839885,0.128661,0.087518,-0.10151,27.964886,0.109936,-0.028267,0.993534,0.002201,1,0.000013,-0.000011,-0.000019,0.000026,-0.000022,-0.000038,0.000712,-0.001361,-0.000175,-0.005705,0.999762,0.000064,-30.071856,55.16935,6.268286,-0.023998,0.067321,-0.056642,29.002417,0.611468,0.017039,-0.791059,0.00645,1,0.000032,-0.00005,-0.000008,0.000064,-0.0001,-0.000017,0.000666,-0.001561,-0.000209,-0.014047,0.995775,-0.012287,-6.947526,52.659935,-24.631176,0.00689,0.102128,-0.149905,29.152422,0.733189,0.064644,0.065891,0.673731,1,-0.000086,-0.000011,-0.000069,-0.000171,-0.000022,-0.000137,0.001339,-0.000884,-0.000972,0.996049,-0.009282,0.004713,67.665665,2.64545,-3.65501,-0.044204,0.00641,0.036388,26.664846
