time,Node01.Gqw,Node01.Gqx,Node01.Gqy,Node01.Gqz,Node01.Lqw,Node01.Lqx,Node01.Lqy,Node01.Lqz,Node01.rx,Node01.ry,Node01.rz,Node01.lx,Node01.ly,Node01.lz,Node01.ax,Node01.ay,Node01.az,Node01.mx,Node01.my,Node01.mz,Node01.gx,Node01.gy,Node01.gz,Node01.temp,Node02.Gqw,Node02.Gqx,Node02.Gqy,Node02.Gqz,Node02.Lqw,Node02.Lqx,Node02.Lqy,Node02.Lqz,Node02.rx,Node02.ry,Node02.rz,Node02.lx,Node02.ly,Node02.lz,Node02.ax,Node02.ay,Node02.az,Node02.mx,Node02.my,Node02.mz,Node02.gx,Node02.gy,Node02.gz,Node02.temp,Node03.Gqw,Node03.Gqx,Node03.Gqy,Node03.Gqz,Node03.Lqw,Node03.Lqx,Node03.Lqy,Node03.Lqz,Node03.rx,Node03.ry,Node03.rz,Node03.lx,Node03.ly,Node03.lz,Node03.ax,Node03.ay,Node03.az,Node03.mx,Node03.my,Node03.mz,Node03.gx,Node03.gy,Node03.gz,Node03.temp,Node04.Gqw,Node04.Gqx,Node04.Gqy,Node04.Gqz,Node04.Lqw,Node04.Lqx,Node04.Lqy,Node04.Lqz,Node04.rx,Node04.ry,Node04.rz,Node04.lx,Node04.ly,Node04.lz,Node04.ax,Node04.ay,Node04.az,Node04.mx,Node04.my,Node04.mz,Node04.gx,Node04.gy,Node04.gz,Node04.temp,Node05.Gqw,Node05.Gqx,Node05.Gqy,Node05.Gqz,Node05.Lqw,Node05.Lqx,Node05.Lqy,Node05.Lqz,Node05.rx,Node05.ry,Node05.rz,Node05.lx,Node05.ly,Node05.lz,Node05.ax,Node05.ay,Node05.az,Node05.mx,Node05.my,Node05.mz,Node05.gx,Node05.gy,Node05.gz,Node05.temp
0,-0.506407,-0.456929,0.516294,-0.517888,1,0,0,0,0,0,0,0.005458,-0.000535,-0.00358,0.008951,-0.011287,-0.996597,-3.842165,3.125773,-66.141716,-0.010453,0.033801,0.008834,0,-0.002498,-0.999953,0.004954,0.008011,1,0,0,-0,0,0,-0,0.001861,0.00088,-0.001945,0.010783,-1.009942,0.01612,14.149811,-68.752716,2.49667,0.040628,0.010005,0.023379,0,0.062144,-0.026917,0.997696,-0.003927,1,0,-0,0,-0,-0,0,-0.004362,0.000008,-0.000668,-0.005705,1.001246,-0.003163,-29.984667,56.666729,5.601882,0.005545,-0.038165,-0.006723,0,-0.605757,-0.014849,0.795491,-0.005684,1,0,0,-0,-0,0,-0,-0.001531,-0.000368,-0.000032,-0.012536,0.995961,-0.010591,-7.764678,53.468689,-24.858793,-0.13735,0.005495,-0.044823,0,0.732195,-0.170054,-0.153141,0.641498,1,0,0,0,0,0,0,0.011281,-0.000717,0.002616,0.999994,-0.004856,0.022963,60.364777,-3.107833,-8.015409,0.076883,0.048399,0.095889,0
0.01001,-0.506408,-0.456922,0.516299,-0.517889,1,-0.000006,0.000002,0.000006,-0.000012,0.000004,0.000011,0.002851,-0.000687,-0.002139,0.00839,-0.011287,-0.995842,-3.669464,3.220802,-66.141716,-0.010639,0.033914,0.008806,27.377367,-0.002494,-0.999953,0.004951,0.008015,1,0.000004,-0.000004,-0.000003,0.000008,-0.000009,-0.000006,0.001354,0.000064,-0.001405,0.011547,-1.009194,0.016871,14.498965,-69.038338,2.410867,0.040719,-0.059152,-0.045821,27.927385,0.062151,-0.026916,0.997696,-0.003927,1,0,-0.000007,0,0.000001,-0.000014,0,-0.001721,-0.000647,-0.000575,-0.006633,0.999947,-0.002593,-29.897478,56.853901,5.435281,0.005528,0.031741,-0.006483,28.502401,-0.605756,-0.014848,0.795491,-0.005686,1,0,-0.000001,0.000002,0.000001,-0.000001,0.000004,-0.000838,-0.00077,-0.000551,-0.01348,0.994844,-0.010214,-7.393245,53.549564,-25.010538,0.001335,0.005478,0.024884,28.76491,0.732187,-0.170101,-0.153177,0.641486,1,-0.000061,0.000004,-0.000002,-0.000122,0.000008,-0.000004,0.006412,-0.001135,0.001448,0.998679,-0.006011,0.022587,60.716625,-3.107833,-7.92991,0.007295,0.048466,0.02646,26.189831
0.02002,-0.506408,-0.456915,0.516309,-0.517884,1,-0.000018,-0.000002,0.000011,-0.000036,-0.000005,0.000022,0.00209,-0.000494,-0.001921,0.007642,-0.011474,-0.995842,-3.669464,3.220802,-66.141716,-0.080171,-0.035539,0.008778,27.389868,-0.002484,-0.999953,0.004948,0.008014,1,0.000014,-0.000003,-0.000006,0.000028,-0.000006,-0.000012,0.001035,0.000167,-0.000933,0.011738,-1.009381,0.016871,14.498965,-69.038338,2.410867,0.110156,0.01038,-0.046335,27.952385,0.062163,-0.026916,0.997695,-0.003927,1,0,-0.00002,0,0.000001,-0.000039,0.000001,-0.001137,-0.000187,-0.000642,-0.006633,1.000318,-0.002214,-29.897478,56.853901,5.435281,0.00551,-0.037705,-0.006462,28.489902,-0.60577,-0.014851,0.795481,-0.005684,1,0.000001,0.000017,-0.000002,0.000002,0.000034,-0.000005,-0.000143,-0.000128,-0.000505,-0.013858,0.995403,-0.010779,-7.393245,53.549564,-25.010538,0.001331,0.213937,-0.04476,28.639906,0.732184,-0.170151,-0.153211,0.641469,1,-0.000122,0.000014,-0.000011,-0.000244,0.000028,-0.000021,0.004566,-0.000669,0.001081,0.998867,-0.006396,0.022587,60.716625,-3.107833,-7.92991,0.007052,0.117878,-0.043188,26.202332
0.03003,-0.50641,-0.456915,0.516308,-0.517884,1,-0.000017,-0,0.00001,-0.000035,-0.000001,0.000021,0.001656,-0.00005,-0.000607,0.008764,-0.01166,-0.99622,-3.669464,3.600918,-66.226265,0.058993,0.034139,-0.060815,27.402369,-0.002493,-0.999953,0.004945,0.008012,1,0.000005,-0.000001,-0.000009,0.000011,-0.000003,-0.000019,0.00063,0.000128,-0.000427,0.011547,-1.009381,0.016495,14.411676,-69.704796,2.410867,-0.098888,0.010128,-0.046409,27.964886,0.062177,-0.026916,0.997694,-0.003933,1,0.000007,-0.000033,0.000001,0.000014,-0.000066,0.000001,-0.001049,-0.000283,0.000058,-0.006447,1.000133,-0.002973,-29.810291,56.666729,5.435281,0.075058,-0.037806,-0.006661,28.502401,-0.605766,-0.014838,0.795484,-0.005679,1,-0.000011,0.000012,0.000006,-0.000022,0.000024,0.000012,-0.000189,0.000311,0.000473,-0.012725,0.995961,-0.010968,-8.061825,54.115696,-25.010538,-0.137584,0.005444,0.094073,28.602406,0.732168,-0.170202,-0.153258,0.641461,1,-0.000194,0.000011,-0.000007,-0.000388,0.000023,-0.000014,0.002997,-0.000164,0.00106,0.999242,-0.006011,0.023151,60.276814,-3.30286,-8.271902,0.00681,-0.021405,0.095639,26.189831
0.04004,-0.506408,-0.456918,0.51631,-0.517882,1,-0.000017,-0.000005,0.00001,-0.000034,-0.000009,0.000019,0.001742,-0.000052,-0.000295,0.008951,-0.012221,-0.99622,-3.669464,3.600918,-66.226265,0.058807,-0.035534,-0.061062,27.377367,-0.002501,-0.999952,0.00496,0.008017,1,-0.000003,-0.000006,0.000006,-0.000006,-0.000012,0.000011,0.000986,0.000099,0.000236,0.01212,-1.009381,0.015744,14.411676,-69.704796,2.410867,-0.098795,-0.059689,0.162214,27.964886,0.06219,-0.026916,0.997694,-0.003921,1,-0.000005,-0.000047,0.000001,-0.00001,-0.000093,0.000002,-0.000946,0.000512,0.000653,-0.006447,1.00106,-0.003732,-29.810291,56.666729,5.435281,-0.133655,-0.037467,-0.00686,28.489902,-0.605767,-0.014836,0.795483,-0.005681,1,-0.00001,0.000013,0.000008,-0.000021,0.000026,0.000017,0.000163,0.000251,0.000922,-0.012158,0.995961,-0.011533,-8.061825,54.115696,-25.010538,0.000444,0.074992,0.025089,28.652407,0.732161,-0.170252,-0.153308,0.641444,1,-0.000266,0.000009,-0.000015,-0.000532,0.000017,-0.00003,0.001916,-0.000074,0.001447,0.999242,-0.005818,0.024092,60.276814,-3.30286,-8.271902,0.006789,-0.021557,-0.043354,26.202332
0.05005,-0.506405,-0.456914,0.516317,-0.51788,1,-0.000023,-0.000009,0.000015,-0.000045,-0.000017,0.000031,0.001527,-0.000002,0.000695,0.010074,-0.012407,-0.99622,-3.928515,3.220802,-66.39537,-0.010944,-0.035202,0.008256,27.352367,-0.002503,-0.999952,0.004963,0.008015,1,-0.000005,-0.000004,0.000009,-0.000011,-0.000009,0.000017,0.000987,0.000696,0.000801,0.012311,-1.010128,0.014993,14.2371,-69.228752,2.582474,-0.028918,0.009845,0.023011,27.964886,0.062192,-0.026922,0.997693,-0.003922,1,-0.000004,-0.000048,-0.000005,-0.000009,-0.000096,-0.00001,-0.00069,0.000734,0.000859,-0.006633,1.001431,-0.004112,-29.810291,56.853901,5.518582,0.005019,0.101562,-0.076403,28.527403,-0.605763,-0.014833,0.795487,-0.005691,1,-0.000004,0.000008,0.000017,-0.000008,0.000016,0.000034,-0.000303,0.000496,0.00111,-0.011591,0.996333,-0.011156,-7.764678,53.549564,-24.631176,0.069789,0.005849,0.094575,28.577404,0.732154,-0.170292,-0.153356,0.64143,1,-0.000329,0,-0.000024,-0.000658,0,-0.000047,0.002428,0.000445,0.00177,0.999994,-0.006973,0.02428,60.45274,-3.205347,-8.271902,0.076332,-0.091054,-0.043217,26.189831
0.06006,-0.506406,-0.456907,0.516328,-0.517875,1,-0.000034,-0.000013,0.000021,-0.000069,-0.000025,0.000042,0.001549,0.000416,-0.00036,0.008951,-0.012594,-0.996786,-3.928515,3.220802,-66.39537,-0.080475,-0.035311,0.008011,27.364868,-0.002506,-0.999952,0.004978,0.008013,1,-0.000008,-0.000003,0.000024,-0.000015,-0.000005,0.000047,0.00084,0.00058,-0.000278,0.012311,-1.010128,0.01612,14.2371,-69.228752,2.582474,-0.028607,0.010033,0.162288,27.952385,0.062205,-0.026922,0.997693,-0.003922,1,-0.000004,-0.000061,-0.000005,-0.000008,-0.000123,-0.000009,-0.000042,0.001106,-0.000017,-0.007189,1.001988,-0.003163,-29.810291,56.853901,5.518582,0.005003,-0.037669,-0.006377,28.489902,-0.605764,-0.01483,0.795486,-0.005701,1,0.000002,0.000009,0.000025,0.000004,0.000019,0.000051,0.000464,-0.000024,0.000121,-0.012725,0.995775,-0.011721,-7.764678,53.549564,-24.631176,0.069788,0.075396,0.095155,28.564903,0.732151,-0.170342,-0.15339,0.641413,1,-0.000392,0.00001,-0.000032,-0.000783,0.000019,-0.000064,0.002292,0.000031,0.000201,0.999618,-0.006588,0.022775,60.45274,-3.205347,-8.271902,0.076311,0.117489,-0.043081,26.189831
0.07007,-0.506406,-0.456901,0.516332,-0.517876,1,-0.00004,-0.000011,0.000026,-0.00008,-0.000022,0.000053,0.001689,0.000145,-0.000917,0.008203,-0.012968,-0.996597,-4.014866,2.935715,-66.39537,-0.010875,0.034366,0.008205,27.389868,-0.002502,-0.999952,0.004981,0.008012,1,-0.000004,-0.000001,0.000027,-0.000007,-0.000002,0.000053,0.000869,0.00017,-0.001196,0.012502,-1.009755,0.017246,14.2371,-69.038338,2.582474,0.040829,0.009782,0.023084,27.964886,0.06221,-0.026928,0.997692,-0.003922,1,-0.000004,-0.000067,-0.000011,-0.000008,-0.000134,-0.000021,0.000097,0.00015,-0.000813,-0.007189,1.00106,-0.002214,-29.984667,56.853901,5.18538,0.004987,0.032015,-0.075922,28.489902,-0.605752,-0.014841,0.795495,-0.005709,1,0.000015,-0.000006,0.000021,0.00003,-0.000012,0.000043,0.000358,-0.000336,-0.000409,-0.013291,0.995403,-0.011533,-8.284684,53.145187,-24.555304,0.139133,-0.063753,-0.043617,28.402399,0.732145,-0.170386,-0.153435,0.641397,1,-0.000455,0.000007,-0.00004,-0.00091,0.000014,-0.000081,0.002219,-0.000333,0.000327,0.999242,-0.006973,0.022775,60.45274,-2.912807,-8.3574,0.076509,-0.022012,-0.043164,26.214832
0.08008,-0.506401,-0.456894,0.516342,-0.517877,1,-0.000045,-0.000015,0.000038,-0.000091,-0.00003,0.000076,0.000989,0.000148,-0.000821,0.008203,-0.012407,-0.996597,-4.014866,2.935715,-66.39537,-0.010841,-0.035308,0.077964,27.364868,-0.002492,-0.999952,0.004984,0.00801,1,0.000006,0.000001,0.00003,0.000013,0.000001,0.000059,0.000596,-0.000334,-0.000526,0.012311,-1.009194,0.016683,14.2371,-69.038338,2.582474,0.110485,0.009751,0.023012,27.964886,0.062216,-0.026928,0.997692,-0.003916,1,-0.00001,-0.000072,-0.00001,-0.00002,-0.000144,-0.000021,-0.000122,0.000603,-0.000556,-0.007004,1.001617,-0.002403,-29.984667,56.853901,5.18538,-0.064594,0.031694,-0.006337,28.502401,-0.60573,-0.014845,0.795512,-0.005707,1,0.000015,-0.000034,0.000018,0.000031,-0.000067,0.000035,0.000082,0.000508,-0.000226,-0.013103,0.996333,-0.011345,-8.284684,53.145187,-24.555304,0.000222,-0.202463,-0.043699,28.727409,0.732139,-0.170429,-0.153479,0.641382,1,-0.000518,0.000004,-0.000049,-0.001037,0.000008,-0.000098,0.001171,-0.000352,-0.000079,0.999054,-0.006011,0.022775,60.45274,-2.912807,-8.3574,0.076268,-0.021503,-0.043028,26.202332
0.09009,-0.506398,-0.456884,0.516356,-0.517875,1,-0.000057,-0.000019,0.00005,-0.000115,-0.000038,0.0001,0.000544,0.000325,-0.000415,0.008577,-0.012034,-0.996786,-3.755815,3.315831,-66.226265,-0.080592,-0.035196,0.077718,27.377367,-0.002488,-0.999952,0.004987,0.008021,1,0.00001,-0.00001,0.000033,0.00002,-0.00002,0.000065,0.000544,0.000202,0.000365,0.012311,-1.009755,0.015744,14.411676,-69.228752,2.582474,0.04101,-0.12963,0.023159,27.952385,0.062228,-0.026922,0.997691,-0.003909,1,-0.000016,-0.000085,-0.000004,-0.000032,-0.00017,-0.000009,-0.000543,0.000515,0.000473,-0.006633,1.001617,-0.003542,-29.984667,56.666729,5.26868,-0.064609,-0.037751,0.063028,28.502401,-0.605744,-0.014833,0.795501,-0.005716,1,0.000016,-0.000016,0.000032,0.000032,-0.000031,0.000064,-0.000311,0.000751,0.000532,-0.012158,0.996706,-0.011156,-8.061825,53.549564,-24.858793,0.000222,0.284035,0.164695,28.577404,0.732132,-0.170475,-0.153515,0.64137,1,-0.000579,0.000008,-0.000052,-0.001158,0.000017,-0.000104,0.001145,0.000498,0.00104,0.999994,-0.006588,0.023904,60.540699,-2.815294,-7.92991,0.076247,0.04813,0.026453,26.202332
