time,Gqw,Gqx,Gqy,Gqz,Lqw,Lqx,Lqy,Lqz,rx,ry,rz,lx,ly,lz,ax,ay,az,mx,my,mz,gx,gy,gz,temp
0,0.002363,0.097362,-0.995229,0.005838,0.002363,0.097362,-0.995229,0.005838,-3.130432,-0.00584,-2.946588,-0.024381,-0.002948,-0.000983,0.075801,1.001286,0.000089,-38.463757,31.41024,-0.174475,-1.534774,1.584346,2.14975,32.852535
0.01001,0.002723,0.096969,-0.995267,0.005761,0.002723,0.096969,-0.995267,0.005761,-3.130652,-0.006537,-2.947382,-0.016994,0.002889,0.005453,0.083103,1.011022,-0.011146,-38.463757,31.664183,-0.016327,-0.491295,2.906085,4.445403,32.852535
0.02002,0.002778,0.096385,-0.995323,0.005938,0.002778,0.096385,-0.995323,0.005938,-3.130308,-0.006675,-2.948557,-0.022855,0.002701,0.013204,0.100888,1.015141,-0.025619,-38.463757,31.664183,-0.016327,0.134792,3.532172,5.697577,32.865036
0.03003,0.002646,0.095978,-0.995361,0.006132,0.002646,0.095978,-0.995361,0.006132,-3.129894,-0.006445,-2.949374,-0.022036,-0.000013,0.010154,0.108751,1.013643,-0.02638,-38.310448,31.240946,0.141821,0.273922,2.558259,3.61062,32.852535
0.04004,0.002434,0.095577,-0.995398,0.006417,0.002434,0.095577,-0.995398,0.006417,-3.129282,-0.006072,-2.950179,-0.017835,0.004503,0.005805,0.108938,1.01926,-0.024286,-38.310448,31.240946,0.141821,1.873922,1.097389,3.680185,32.852535
0.05005,0.002351,0.095188,-0.995435,0.006521,0.002351,0.095188,-0.995435,0.006521,-3.129057,-0.005923,-2.95096,-0.00229,0.007017,-0.00146,0.094148,1.020384,-0.017049,-38.463757,31.664183,0.062747,1.108705,-0.015654,4.236707,32.852535
0.06006,0.002484,0.094968,-0.995456,0.006494,0.002484,0.094968,-0.995456,0.006494,-3.129134,-0.006179,-2.951404,0.012311,-0.016257,-0.0073,0.082915,0.991363,-0.009432,-38.463757,31.664183,0.062747,0.691313,0.401737,2.914968,32.852535
0.07007,0.002919,0.094537,-0.995497,0.006333,0.002919,0.094537,-0.995497,0.006333,-3.129534,-0.007009,-2.952274,0.01186,-0.024485,-0.003427,0.0846,0.978818,-0.012098,-38.387104,31.748829,-0.253549,-1.326078,2.558259,5.071489,32.865036
0.08008,0.002945,0.093488,-0.995595,0.006524,0.002945,0.093488,-0.995595,0.006524,-3.129151,-0.007083,-2.954382,-0.0096,0.011494,0.022274,0.102385,1.019635,-0.041995,-38.387104,31.748829,-0.253549,-2.091295,5.966954,11.401924,32.852535
0.09009,0.002393,0.092205,-0.995712,0.007056,0.002393,0.092205,-0.995712,0.007056,-3.127982,-0.006066,-2.956957,-0.028467,-0.000456,0.040554,0.129906,1.011397,-0.067131,-38.310448,32.172066,-0.174475,-2.02173,6.662606,12.236707,32.840034
