time,Gqw,Gqx,Gqy,Gqz,Lqw,Lqx,Lqy,Lqz,rx,ry,rz,lx,ly,lz,ax,ay,az,mx,my,mz,gx,gy,gz,temp
0,0.186492,0.235582,-0.953527,0.022561,0.186492,0.235582,-0.953527,0.022561,3.093382,-0.375008,-2.648018,-0.040774,-0.009365,0.003711,-0.012563,1.00372,-0.000482,-59.773369,19.559595,-25.240944,-0.589522,-0.001823,0.473642,32.29002
0.01001,0.184711,0.239448,-0.95304,0.016188,0.184711,0.239448,-0.95304,0.016188,3.079816,-0.368081,-2.637787,-0.022458,-0.005996,0.011316,-0.013125,1.00372,-0.006195,-59.850021,19.813538,-25.003721,-0.728653,0.067742,0.682338,32.29002
0.02002,0.184067,0.241705,-0.952646,0.012812,0.184067,0.241705,-0.952646,0.012812,3.072415,-0.364941,-2.631869,-0.026333,-0.012925,-0.013362,-0.010316,0.997729,0.035508,-59.850021,19.813538,-25.003721,-0.519957,-1.601823,0.334512,32.252518
0.03003,0.183461,0.243672,-0.952293,0.010255,0.183461,0.243672,-0.952293,0.010255,3.066795,-0.362288,-2.626879,-0.009788,-0.003555,0.025521,-0.01275,1.001848,-0.010385,-59.696712,19.728889,-25.240944,-0.172131,-4.523562,-0.22201,32.302517
0.04004,0.182317,0.246073,-0.951918,0.007833,0.182317,0.246073,-0.951918,0.007833,3.061612,-0.358593,-2.621159,-0.026223,-0.013304,0.005872,0.000355,0.999788,0.019131,-59.696712,19.728889,-25.240944,-0.172131,-4.175736,-0.013314,32.29002
0.05005,0.181516,0.247562,-0.951704,0.004942,0.181516,0.247562,-0.951704,0.004942,3.055657,-0.35538,-2.617181,-0.01514,-0.004917,0.018069,-0.007695,1.00372,0.00523,-59.773369,19.813538,-25.161869,-0.380827,-1.462693,0.125816,32.29002
0.06006,0.181476,0.249191,-0.951298,0.001397,0.181476,0.249191,-0.951298,0.001397,3.047891,-0.353274,-2.612472,-0.012273,-0.003523,0.023265,-0.009755,1.004843,0.002184,-59.773369,19.813538,-25.161869,-0.589522,-0.419215,0.473642,32.29002
0.07007,0.183285,0.250833,-0.950517,-0.002485,0.183285,0.250833,-0.950517,-0.002485,3.038325,-0.354567,-2.607056,-0.010085,-0.004886,0.028208,-0.010691,1.003533,0.000851,-59.773369,19.728889,-25.240944,-0.311262,-0.210519,0.264947,32.277519
0.08008,0.186391,0.253188,-0.949265,-0.007055,0.186391,0.253188,-0.949265,-0.007055,3.026268,-0.357889,-2.599406,-0.00831,-0.008723,0.033731,-0.011627,0.999788,0.00047,-59.773369,19.728889,-25.240944,-0.172131,-0.001823,-0.013314,32.302517
0.09009,0.18902,0.257299,-0.94759,-0.011896,0.18902,0.257299,-0.94759,-0.011896,3.013227,-0.359819,-2.58794,-0.011498,-0.011412,0.040069,-0.011814,0.999601,0.000279,-59.696712,19.813538,-25.161869,-0.172131,-0.001823,-0.013314,32.302517
0.1001,0.190606,0.262478,-0.945768,-0.017263,0.190606,0.262478,-0.945768,-0.017263,2.999356,-0.359147,-2.574299,-0.017384,-0.013407,0.047016,-0.01144,1.001848,0.000279,-59.696712,19.813538,-25.161869,-0.033001,-0.001823,0.056251,32.302517
0.11011,0.191328,0.269528,-0.943503,-0.023461,0.191328,0.269528,-0.943503,-0.023461,2.983677,-0.355853,-2.556626,-0.025096,-0.017719,0.055024,-0.011065,1.003533,0.000279,-59.696712,19.898186,-24.924648,-0.241696,-0.001823,-0.013314,32.29002
0.12012,0.191337,0.278,-0.940927,-0.027615,0.191337,0.278,-0.940927,-0.027615,2.972092,-0.351934,-2.536824,-0.032948,-0.024739,0.058336,-0.011814,1.002409,0.000279,-59.696712,19.898186,-24.924648,-0.241696,0.067742,-0.08288,32.277519
0.13013,0.191374,0.287486,-0.937806,-0.035329,0.191374,0.287486,-0.937806,-0.035329,2.953111,-0.345462,-2.513701,-0.040454,-0.032379,0.067846,-0.012563,1.001848,0.000279,-59.850021,20.06748,-25.082796,-0.241696,-0.001823,0.125816,32.302517
0.14014,0.191023,0.296359,-0.934915,-0.040196,0.191023,0.296359,-0.934915,-0.040196,2.940428,-0.339861,-2.493022,-0.047312,-0.040719,0.070813,-0.012189,0.999414,0.000851,-59.850021,20.06748,-25.082796,-0.311262,0.137307,0.264947,32.277519
0.15015,0.191378,0.304453,-0.932135,-0.042517,0.191378,0.304453,-0.932135,-0.042517,2.932593,-0.337248,-2.474494,-0.054433,-0.045527,0.070443,-0.01144,0.999788,0.000851,-59.62006,19.898186,-25.161869,-0.241696,0.067742,0.056251,32.277519
0.16016,0.192845,0.311809,-0.929232,-0.04598,0.192845,0.311809,-0.929232,-0.04598,2.921932,-0.336009,-2.456693,-0.059892,-0.04757,0.072195,-0.01144,1.002409,0.001422,-59.62006,19.898186,-25.161869,-0.241696,0.067742,0.125816,32.277519
0.17017,0.195882,0.319043,-0.925824,-0.051886,0.195882,0.319043,-0.925824,-0.051886,2.905251,-0.335877,-2.437622,-0.061395,-0.051919,0.079153,-0.011627,1.002222,0.000851,-59.390102,19.898186,-25.003721,-0.172131,-0.001823,0.056251,32.277519
0.18018,0.199584,0.325842,-0.922287,-0.058135,0.199584,0.325842,-0.922287,-0.058135,2.887459,-0.336581,-2.418969,-0.061661,-0.056145,0.086109,-0.011627,1.00166,0.00047,-59.390102,19.898186,-25.003721,-0.241696,-0.001823,-0.013314,32.302517
0.19019,0.205562,0.333716,-0.917262,-0.070768,0.205562,0.333716,-0.917262,-0.070768,2.854821,-0.336172,-2.394743,-0.060241,-0.062618,0.104697,-0.011814,1.00166,0.000089,-59.62006,19.898186,-24.924648,-0.241696,0.137307,0.125816,32.29002
0.2002,0.208472,0.344468,-0.911836,-0.08023,0.208472,0.344468,-0.911836,-0.08023,2.830005,-0.330918,-2.366748,-0.065876,-0.071953,0.115592,-0.011065,1.002409,0.000089,-59.62006,19.898186,-24.924648,-0.380827,0.067742,0.125816,32.29002
0.21021,0.210441,0.355704,-0.90629,-0.088473,0.210441,0.355704,-0.90629,-0.088473,2.808351,-0.324147,-2.338589,-0.072295,-0.080957,0.122967,-0.010504,1.00372,0.000279,-59.543407,19.898186,-25.082796,-0.380827,0.067742,0.195381,32.29002
0.22022,0.211502,0.368219,-0.900179,-0.096738,0.211502,0.368219,-0.900179,-0.096738,2.787262,-0.314707,-2.308223,-0.07838,-0.091843,0.128994,-0.010878,1.00372,0.000279,-59.543407,19.898186,-25.082796,-0.659088,0.067742,0.264947,32.29002
0.23023,0.210936,0.382195,-0.893465,-0.10561,0.210936,0.382195,-0.893465,-0.10561,2.766459,-0.300712,-2.275677,-0.08499,-0.106637,0.134305,-0.010316,1.00166,0.000279,-59.62006,19.982832,-24.845573,-0.559519,0.137307,0.213805,32.277519
0.24024,0.208504,0.397374,-0.88609,-0.11604,0.208504,0.397374,-0.88609,-0.11604,2.744751,-0.280966,-2.2416,-0.091809,-0.122272,0.139009,-0.011065,0.999788,0.001612,-59.62006,19.982832,-24.845573,-0.527696,0.067742,0.17511,32.265018
0.25025,0.207162,0.410661,-0.879147,-0.124668,0.207162,0.410661,-0.879147,-0.124668,2.726333,-0.264948,-2.211477,-0.09691,-0.134358,0.142997,-0.011627,0.999601,0.001803,-59.850021,19.898186,-24.924648,-0.282778,0.137307,0.116574,32.277519
0.26026,0.206183,0.424174,-0.871931,-0.131538,0.206183,0.424174,-0.871931,-0.131538,2.711086,-0.250579,-2.18099,-0.10485,-0.146036,0.145313,-0.011627,1.00166,0.002755,-59.850021,19.898186,-24.924648,-0.124917,0.067742,0.0703,32.302517
0.27027,0.205078,0.436862,-0.865116,-0.136635,0.205078,0.436862,-0.865116,-0.136635,2.699741,-0.237682,-2.152732,-0.110749,-0.158121,0.145321,-0.011065,1.00166,0.002564,-59.696712,19.898186,-25.399092,0.095299,0.067742,0.01506,32.29002
