time,Gqw,Gqx,Gqy,Gqz,Lqw,Lqx,Lqy,Lqz,rx,ry,rz,lx,ly,lz,ax,ay,az,mx,my,mz,gx,gy,gz,temp
0,-0.999632,-0.004903,0.012242,0.023726,-0.999632,-0.004903,0.012242,0.023726,0.010386,-0.024245,-0.047586,-0.015641,-0.001048,0.000346,-0.218871,0.979193,-0.001054,25.311771,42.752998,-1.360586,-0.734606,0.573999,0.034962,33.427551
0.01001,-0.999632,-0.004867,0.012232,0.023738,-0.999632,-0.004867,0.012232,0.023738,0.010314,-0.024225,-0.04761,-0.008078,-0.000331,-0.001836,-0.218871,0.979567,-0.004862,25.081812,42.752998,-1.755956,-0.804066,0.643421,0.173988,33.427551
0.02002,-0.999629,-0.004781,0.012432,0.023751,-0.999629,-0.004781,0.012432,0.023751,0.010152,-0.02463,-0.047636,-0.005775,-0.000372,0.003068,-0.219245,0.97938,0.001803,25.081812,42.752998,-1.755956,-0.595325,0.156403,0.173973,33.440052
0.03003,-0.999629,-0.004651,0.012589,0.023711,-0.999629,-0.004651,0.012589,0.023711,0.009899,-0.024951,-0.047555,-0.00408,-0.0009,0.006042,-0.218684,0.978631,0.007135,25.695038,42.752998,-1.43966,-0.45609,-0.052355,0.104422,33.427551
0.04004,-0.999629,-0.004556,0.012714,0.023671,-0.999629,-0.004556,0.012714,0.023671,0.009715,-0.025205,-0.047474,-0.002328,0.000282,0.003575,-0.21756,0.979942,0.005802,25.695038,42.752998,-1.43966,-0.247289,-0.121981,0.034932,33.440052
0.05005,-0.999629,-0.004541,0.012732,0.023667,-0.999629,-0.004541,0.012732,0.023667,0.009684,-0.025242,-0.047464,-0.001852,0.001973,-0.002554,-0.217748,0.982001,-0.000863,25.311771,42.752998,-1.597808,-0.17759,0.225674,0.034977,33.452553
0.06006,-0.999629,-0.004542,0.012618,0.023691,-0.999629,-0.004542,0.012618,0.023691,0.009681,-0.025014,-0.047512,-0.001886,0.001568,-0.006444,-0.218309,0.981814,-0.006005,25.311771,42.752998,-1.597808,-0.594876,0.225393,-0.243329,33.440052
0.07007,-0.999628,-0.004433,0.012671,0.023747,-0.999628,-0.004433,0.012671,0.023747,0.009469,-0.025125,-0.047623,-0.002017,-0.001265,0.002891,-0.218497,0.978818,0.004088,25.388424,42.837646,-1.281512,-0.594654,-0.7488,-0.59114,33.427551
0.08008,-0.999625,-0.004287,0.012836,0.023796,-0.999625,-0.004287,0.012836,0.023796,0.009185,-0.025461,-0.047718,-0.002635,-0.002367,0.006124,-0.219433,0.97732,0.008658,25.388424,42.837646,-1.281512,-0.525014,-0.749026,-0.451995,33.427551
0.09009,-0.999623,-0.004225,0.013158,0.023744,-0.999623,-0.004225,0.013158,0.023744,0.009074,-0.026108,-0.047616,-0.001606,-0.000623,0.002669,-0.218684,0.979005,0.005802,25.388424,42.41441,-1.83503,-0.0381,0.085614,0.313238,33.440052
0.1001,-0.999624,-0.004298,0.013166,0.023662,-0.999624,-0.004298,0.013166,0.023662,0.00922,-0.026121,-0.047454,0.000752,0.001217,-0.006844,-0.216437,0.981065,-0.004862,25.388424,42.41441,-1.83503,0.240118,0.502889,0.521798,33.440052
0.11011,-0.999626,-0.004363,0.012982,0.023668,-0.999626,-0.004363,0.012982,0.023668,0.00934,-0.025751,-0.047464,0.001704,0.001044,-0.007375,-0.215314,0.981065,-0.006576,25.235119,42.752998,-1.43966,0.031497,-0.262307,-0.104334,33.440052
0.12012,-0.999626,-0.004373,0.012856,0.023718,-0.999626,-0.004373,0.012856,0.023718,0.009356,-0.025497,-0.047565,-0.00092,0.000889,-0.005714,-0.218122,0.980878,-0.005624,25.235119,42.752998,-1.43966,-0.455355,-0.609811,-0.452055,33.440052
0.13013,-0.999624,-0.004346,0.013001,0.023734,-0.999624,-0.004346,0.013001,0.023734,0.00931,-0.025788,-0.047598,-0.00026,0.000396,-0.000595,-0.217373,0.980503,-0.000482,25.235119,42.922295,-1.755956,-0.316149,-0.192153,-0.034679,33.427551
0.14014,-0.999625,-0.004393,0.012973,0.023712,-0.999625,-0.004393,0.012973,0.023712,0.009402,-0.02573,-0.047554,0.002074,0.001286,-0.005143,-0.21494,0.981627,-0.005814,25.235119,42.922295,-1.755956,-0.107467,0.225342,0.243357,33.440052
0.15015,-0.999627,-0.00443,0.012827,0.02369,-0.999627,-0.00443,0.012827,0.02369,0.009467,-0.025436,-0.04751,0.007765,0.002214,-0.005018,-0.208387,0.983124,-0.006576,25.081812,42.837646,-1.518734,-0.246787,0.016694,-0.035218,33.427551
0.16016,-0.999627,-0.004425,0.012687,0.02376,-0.999627,-0.004425,0.012687,0.02376,0.009452,-0.025157,-0.047648,-0.000874,0.000705,-0.004681,-0.217186,0.981252,-0.006576,25.081812,42.837646,-1.518734,-0.733787,-0.122443,-0.522399,33.440052
0.17017,-0.999627,-0.004372,0.01262,0.023833,-0.999627,-0.004372,0.01262,0.023833,0.009346,-0.025025,-0.047791,-0.002877,-0.000803,0.000793,-0.219433,0.979567,-0.000863,25.311771,42.837646,-1.360586,-0.59464,-0.331118,-0.661514,33.427551
0.18018,-0.999626,-0.004299,0.012632,0.023851,-0.999626,-0.004299,0.012632,0.023851,0.0092,-0.025052,-0.047827,-0.002125,-0.000764,0.003506,-0.218871,0.979567,0.002374,25.311771,42.837646,-1.360586,-0.455611,-0.261504,-0.104917,33.465054
0.19019,-0.999625,-0.004268,0.012735,0.023868,-0.999625,-0.004268,0.012735,0.023868,0.009144,-0.025259,-0.047861,0.00005,-0.000248,0.000891,-0.216812,0.980129,-0.000102,25.005157,42.752998,-1.676882,-0.31667,0.08626,0.034228,33.440052
0.2002,-0.999623,-0.004222,0.01287,0.023891,-0.999623,-0.004222,0.01287,0.023891,0.009059,-0.02553,-0.047906,0.000065,-0.000223,0.001534,-0.216812,0.980129,0.000851,25.005157,42.752998,-1.676882,-0.386395,-0.052959,-0.035441,33.427551
0.21021,-0.999623,-0.004136,0.012877,0.02391,-0.999623,-0.004136,0.012877,0.02391,0.008887,-0.025549,-0.047943,-0.000819,-0.001173,0.002057,-0.217748,0.979005,0.001803,25.311771,42.752998,-1.43966,-0.734352,0.016518,-0.244212,33.465054
0.22022,-0.999621,-0.004027,0.012993,0.023944,-0.999621,-0.004027,0.012993,0.023944,0.008677,-0.025786,-0.048008,-0.000086,-0.001436,0.004217,-0.216999,0.978631,0.004659,25.311771,42.752998,-1.43966,-0.664741,-0.401016,-0.452862,33.427551
0.23023,-0.999617,-0.003954,0.013196,0.023989,-0.999617,-0.003954,0.013196,0.023989,0.008541,-0.026196,-0.048098,0.000534,-0.0008,0.003627,-0.216437,0.979193,0.004659,25.388424,42.752998,-1.597808,-0.316752,-0.470533,-0.730928,33.427551
0.24024,-0.999615,-0.00392,0.013331,0.024027,-0.999615,-0.00392,0.013331,0.024027,0.008482,-0.026466,-0.048175,0.001648,-0.000236,0.000966,-0.215314,0.979754,0.002184,25.388424,42.752998,-1.597808,-0.177605,-0.470349,-0.730823,33.427551
0.25025,-0.999613,-0.00388,0.013311,0.024111,-0.999613,-0.00388,0.013311,0.024111,0.008401,-0.026427,-0.048342,0.000521,0.000221,-0.000774,-0.216624,0.980129,0.00047,25.311771,43.006943,-1.43966,-0.455909,-0.261523,-0.939474,33.427551
0.26026,-0.999611,-0.003814,0.013323,0.024205,-0.999611,-0.003814,0.013323,0.024205,0.008273,-0.026455,-0.04853,-0.000428,-0.000069,0.000362,-0.217748,0.979754,0.001803,25.311771,43.006943,-1.43966,-0.595082,-0.261311,-1.008934,33.427551
0.27027,-0.99961,-0.003744,0.013271,0.024296,-0.99961,-0.003744,0.013271,0.024296,0.008133,-0.026352,-0.048709,-0.000252,-0.000041,0.001109,-0.217748,0.979754,0.002755,25.158464,42.922295,-1.281512,-0.525559,-0.191452,-0.869669,33.427551
0.28028,-0.999608,-0.003741,0.013205,0.024389,-0.999608,-0.003741,0.013205,0.024389,0.008126,-0.02622,-0.048895,0.000017,0.001043,-0.000001,-0.217748,0.980878,0.001612,25.158464,42.922295,-1.281512,0.100368,-0.330344,-0.93916,33.452553
0.29029,-0.999605,-0.003772,0.013247,0.024482,-0.999605,-0.003772,0.013247,0.024482,0.008192,-0.026301,-0.049081,0.000292,0.001722,-0.002621,-0.217748,0.981627,-0.001244,25.235119,43.006943,-1.597808,0.100238,-0.399725,-1.00871,33.452553
0.3003,-0.999602,-0.003774,0.013292,0.0246,-0.999602,-0.003774,0.013292,0.0246,0.008201,-0.02639,-0.049318,-0.000948,0.000847,-0.002693,-0.219245,0.98069,-0.001435,25.235119,43.006943,-1.597808,-0.24763,-0.538835,-1.217361,33.465054
0.31031,-0.999597,-0.003663,0.013492,0.024709,-0.999597,-0.003663,0.013492,0.024709,0.007993,-0.026794,-0.049534,-0.004679,-0.001318,0.003706,-0.223177,0.978256,0.005611,25.388424,42.837646,-1.597808,-0.734512,-0.39993,-1.147751,33.452553
