time,EqKm_x,EqKm_y,EqKm_z,Sens_x,Sens_y,Sens_z,a_x,a_y,a_z,m_x,m_y,m_z,g_x,g_y,g_z,Km_g_x,Km_g_y,Km_g_z,qKm_w,qKm_x,qKm_y,qKm_z,J 
0,NaN,NaN,NaN,-3.0708,0.0072991,-0.00033599,-0.0048092,-1.007,0.012121,6.5373,-29.339,0.89582,0.00034932,0.00083048,-0.00080447,0,0,0,NaN,NaN,NaN,NaN,0
0.01,-0.76334,-1.3677,-0.76334,-3.0729,0.0091107,-0.086608,-0.01014,-1.0037,0.0018014,6.3271,-29.516,0.7415,-0.000863,0.0020423,-0.00080576,-0.18625,-0.18448,-0.18622,0.52771,-0.48404,-0.48404,-0.48404,0.01843
0.02,-0.79132,-1.3582,-0.73626,-3.071,0.0068012,-0.11808,-0.015838,-1.0001,-0.0042027,6.3271,-29.516,0.7415,0.0015671,0.00082595,0.00040709,-0.10706,-0.10034,-0.0089129,0.52718,-0.48439,-0.48314,-0.48318,0.020539
0.03,-0.8725,-1.3611,-0.65828,-3.0697,0.0043203,-0.1123,-0.015286,-1.0033,-0.0028893,6.3271,-29.428,0.81866,0.0015689,-0.00039044,0.0004058,-0.10095,-0.092261,0.06469,0.52687,-0.48715,-0.48222,-0.48235,0.020725
0.04,-1.0101,-1.3677,-0.52747,-3.0672,0.0047893,-0.076174,-0.01161,-1.0052,0.0033024,6.3271,-29.428,0.81866,-0.0020717,-0.0016068,0.0016187,-0.10634,-0.097235,0.09295,0.52536,-0.49225,-0.48114,-0.48137,0.020735
0.05,-1.2071,-1.3811,-0.34117,-3.0645,0.0070791,-0.012353,-0.0099559,-1.0054,0.0089313,6.257,-29.339,0.97298,-0.0032866,-0.0028199,0.00040708,-0.10796,-0.10306,0.10055,0.52226,-0.49984,-0.48036,-0.48047,0.020732
0.06,-1.4147,-1.3865,-0.14506,-3.0679,0.0062889,-0.010643,-0.0073826,-1.0037,0.010057,6.257,-29.339,0.97298,-0.0020707,-0.0016014,0.00040196,-0.10748,-0.10446,0.10271,0.51926,-0.50841,-0.47832,-0.47826,0.020729
0.07,-1.5746,-1.3751,0.003485,-3.0707,0.0069648,-0.062816,-0.0064635,-1.0048,0.0087436,6.3972,-29.162,0.7415,0.00035686,-0.00038296,0.0016148,-0.10712,-0.10213,0.10521,0.51701,-0.51733,-0.47417,-0.47417,0.020727
0.08,-1.6999,-1.3586,0.11585,-3.0693,0.0080679,-0.078739,-0.0099559,-1.0048,0.0053663,6.3972,-29.162,0.7415,0.0015728,0.00083221,0.00039942,-0.10609,-0.099265,0.10473,0.51449,-0.52743,-0.46902,-0.46921,0.020726
0.09,-1.7972,-1.34,0.19849,-3.0691,0.0085434,-0.090554,-0.012529,-1.0031,0.0021766,6.3271,-29.516,0.81866,0.0027887,0.0020441,0.000402,-0.10428,-0.096557,0.10352,0.51168,-0.53881,-0.46313,-0.46356,0.020725
