 time,EqKm_x,EqKm_y,EqKm_z,Sens_x,Sens_y,Sens_z,a_x,a_y,a_z,m_x,m_y,m_z,g_x,g_y,g_z,Km_g_x,Km_g_y,Km_g_z,qKm_w,qKm_x,qKm_y,qKm_z 
0,0,0,0,-0.066042,-0.0047483,0,-0.065763,0.99433,-0.0047318,2.0787,20.672,-15.633,-0.0048911,-0.00016523,-0.0036243,0,0,0,0,0,0,0
0.01,-0.019624,-0.01963,-0.019624,-0.058838,0.0055927,-0.025245,-0.058572,0.99433,0.0055707,2.3294,20.955,-15.633,-0.0036769,-0.00016477,-0.001196,-0.0059713,-0.0038266,-0.0044563,0.99023,-0.0098139,-0.0098139,-0.0098139
0.02,-0.019499,-0.019407,-0.01944,-0.054924,0.0088456,-0.030864,-0.0547,0.99491,0.0088141,2.3294,20.955,-15.633,-0.0024654,-0.0013818,0.0060888,-0.0051927,-0.00075623,0.0023016,0.99034,-0.0097509,-0.0097019,-0.0097221
0.03,-0.021225,-0.02091,-0.021049,-0.05677,0.0040452,-0.044024,-0.056728,0.99819,0.0040444,2.5802,21.049,-15.548,0.0011744,-0.0025888,0.0085171,-0.003119,-0.00029715,0.0051232,0.98956,-0.010613,-0.010452,-0.010527
0.04,-0.022409,-0.021746,-0.022013,-0.062929,-0.0011081,-0.03509,-0.062813,0.99684,-0.0011068,2.5802,21.049,-15.548,0.0036028,-0.0025851,0.0048747,-0.0013525,-0.00030633,0.0040629,0.98909,-0.011204,-0.010867,-0.01101
0.05,-0.023096,-0.021931,-0.022307,-0.067293,-0.003607,-0.023262,-0.06687,0.99221,-0.003587,2.4966,21.049,-15.633,-3.6841e-05,-0.0037955,0.0012323,-0.0036706,-0.0013223,0.0020823,0.98893,-0.011544,-0.010957,-0.011158
0.06,-0.023846,-0.022051,-0.022599,-0.066432,-0.0055311,-0.024238,-0.065948,0.99125,-0.0054949,2.4966,21.049,-15.633,-0.0012509,-0.0025809,-0.0060526,-0.0051154,-0.00091367,-0.0036051,0.98878,-0.011916,-0.011013,-0.011306
0.07,-0.024601,-0.022019,-0.022922,-0.064649,-0.0037855,-0.028746,-0.064473,0.99588,-0.0037778,2.4966,20.766,-15.463,-0.0036791,0.0010619,-0.009695,-0.0070524,0.0018656,-0.0081515,0.98868,-0.01229,-0.010992,-0.011469
0.08,-0.025237,-0.021696,-0.023156,-0.062609,0.00042031,-0.031905,-0.062444,0.99607,0.00041948,2.4966,20.766,-15.463,-3.6596e-05,0.0010623,-0.0084809,-0.0049326,0.0029982,-0.0089013,0.98866,-0.012603,-0.010824,-0.011586
0.09,-0.026059,-0.021445,-0.023788,-0.060328,0.003103,-0.045156,-0.060047,0.99414,0.0030905,2.6638,20.86,-15.548,-3.6515e-05,0.0010627,-0.0024101,-0.0040601,0.0035653,-0.0058554,0.98856,-0.01301,-0.010689,-0.0119
0.1,-0.02686,-0.021108,-0.024402,-0.05908,0.0027222,-0.046786,-0.058756,0.99337,0.0027089,2.6638,20.86,-15.548,-3.9112e-05,-0.0013652,0.0024464,-0.003646,0.002007,-0.0016556,0.98847,-0.013406,-0.010511,-0.012204
0.11,-0.027559,-0.020566,-0.024498,-0.062236,0.00061327,-0.032473,-0.061891,0.99318,0.00061026,2.4966,20.86,-15.378,0.0011751,-0.00014735,0.0036606,-0.0028588,0.0021259,0.0015076,0.98851,-0.013749,-0.010232,-0.012252
0.12,-0.028362,-0.020051,-0.024542,-0.06422,-0.0013028,-0.029585,-0.063919,0.99395,-0.0012976,2.4966,20.86,-15.378,0.0023867,0.0010704,0.0012323,-0.0018659,0.0028128,0.0010011,0.98853,-0.014144,-0.0099656,-0.012275
0.13,-0.028898,-0.019232,-0.023714,-0.064318,-0.0024488,-0.0067333,-0.064104,0.9953,-0.0024423,2.1623,21.049,-15.463,-4.1516e-05,-0.0013575,1.8137e-05,-0.0031995,0.0011106,0.001612,0.98875,-0.014403,-0.0095521,-0.011865
