time,EqKm_x,EqKm_y,EqKm_z,Sens_x,Sens_y,Sens_z,a_x,a_y,a_z,m_x,m_y,m_z,g_x,g_y,g_z,Km_g_x,Km_g_y,Km_g_z,qKm_w,qKm_x,qKm_y,qKm_z,J 
0,NaN,NaN,NaN,0,0,0,-0.009707,-1.0083,-0.020949,-12.266,-47.45,-16.794,0.0024354,0.00060019,0.0010846,0,0,0,NaN,NaN,NaN,NaN,0
0.01,0,5.5511e-17,0,0,0,0,-0.009707,-1.0083,-0.020758,-12.266,-47.45,-16.794,-0.0012071,-0.00061201,0.001085,-0.1905,-0.19014,-0.1891,1.0011,0,2.7726e-17,0,0.01843
0.02,0,0,0,0,0,0,-0.0095227,-1.0079,-0.020185,-12.457,-47.338,-17.078,0.001225,0.00061173,0.0010854,-0.10616,-0.10524,-0.01086,1.0017,0,0,0,0.020539
0.03,0,0,0,0,0,2.7105e-20,-0.0089695,-1.0079,-0.020567,-12.457,-47.338,-17.078,-0.0012033,-0.0018223,-0.0013425,-0.099521,-0.098305,0.061511,1.0019,0,0,0,0.020725
0.04,0,0,0,0,0,3.7947e-19,-0.0087851,-1.0083,-0.020567,-12.744,-47.674,-16.983,0.001225,0.00060789,0.00109,-0.10201,-0.099832,0.091149,1.0014,0,0,0,0.020735
0.05,0,0,0,0,0,-2.3039e-19,-0.0087851,-1.0087,-0.020376,-12.744,-47.674,-16.983,6.9565e-06,0.0006098,-0.0013417,-0.10506,-0.10165,0.099702,1.0008,0,0,0,0.020732
0.06,0,0,0,0,0,-9.4868e-20,-0.0095227,-1.0091,-0.020185,-12.648,-47.674,-17.456,0.0012249,-0.00060243,0.0010908,-0.10459,-0.10341,0.10335,1.0004,0,0,0,0.020729
0.07,0,-1.1102e-16,0,0,0,0,-0.009707,-1.0085,-0.020949,-12.648,-47.674,-17.456,-0.0012034,-0.00060437,0.0010912,-0.10571,-0.10338,0.10376,0.99982,0,-5.5521e-17,0,0.020727
0.08,0,0,0,0,0,-1.8974e-19,-0.0086007,-1.0096,-0.020376,-12.744,-47.674,-17.267,-0.0011996,-0.00060246,-0.0013367,-0.10578,-0.10243,0.10158,0.99907,0,0,0,0.020726
0.09,0,0,0,0,0,2.9816e-19,-0.0095227,-1.0091,-0.020949,-12.744,-47.674,-17.267,0.0012286,-0.00059672,0.001092,-0.10348,-0.10116,0.10164,0.99829,0,0,0,0.020725
0.1,0,0,0,0,0,3.2526e-19,-0.0089695,-1.0087,-0.020758,-12.553,-47.338,-17.361,0.0012324,-0.00059484,-0.00012559,-0.10171,-0.10013,0.099355,0.99766,0,0,0,0.020725
0.11,0,1.1102e-16,0,0,0,-9.4868e-20,-0.0095227,-1.0091,-0.020758,-12.553,-47.338,-17.361,-0.0011959,0.0018353,0.0010889,-0.10209,-0.097003,0.098413,0.99705,0,5.5676e-17,0,0.020724
0.12,0,0,0,0,0,-6.7763e-20,-0.009707,-1.0091,-0.020758,-12.457,-47.897,-17.267,-0.0024101,-0.0018091,-0.0001248,-0.1022,-0.09744,0.096058,0.99653,0,0,0,0.020724
0.13,0,0,0,0,0,-3.7947e-19,-0.0095227,-1.0083,-0.020949,-12.457,-47.897,-17.267,0.0012322,-0.00059304,-0.0013424,-0.098855,-0.095527,0.09321,0.99613,0,0,0,0.020724
0.14,0,1.1102e-16,0,0,0,1.2197e-19,-0.0091539,-1.0085,-0.019995,-12.171,-47.226,-17.078,-0.0011923,0.00062297,-0.00013167,-0.098426,-0.093047,0.091689,0.99592,0,5.5739e-17,0,0.020724
0.15,0,0,0,0,0,-4.3368e-19,-0.009707,-1.0083,-0.019995,-12.171,-47.226,-17.078,-0.0012,-0.0018034,0.0010867,-0.09737,-0.092592,0.090791,0.99586,0,0,0,0.020724
0.16,0,1.1102e-16,0,0,0,-7.0473e-19,-0.010813,-1.0085,-0.020376,-12.744,-47.785,-17.172,1.7932e-05,-0.00059128,-0.00012702,-0.095855,-0.089559,0.089199,0.99583,0,5.5743e-17,0,0.020724
0.17,0,0,0,0,0,-3.1171e-19,-0.0095227,-1.0079,-0.020758,-12.744,-47.785,-17.172,-0.0011963,-0.00059324,0.0010875,-0.095195,-0.087347,0.087961,0.99606,0,0,0,0.020724
0.18,0,0,0,0,0,-5.421e-20,-0.0089695,-1.0087,-0.019613,-12.553,-47.562,-17.361,1.7819e-05,-0.0005952,-0.00012622,-0.09273,-0.085668,0.084806,0.99656,0,0,0,0.020724
0.19,0,0,0,0,0,-2.3039e-19,-0.0082319,-1.0083,-0.020376,-12.553,-47.562,-17.361,2.1596e-05,-0.00059332,-0.00134,-0.090875,-0.083743,0.081424,0.99728,0,0,0,0.020724
0.2,0,-1.1102e-16,0,0,0,1.0842e-19,-0.0089695,-1.0079,-0.020185,-12.457,-47.45,-17.172,-0.0011964,0.00062269,0.0010849,-0.090068,-0.080741,0.080797,0.99817,0,-5.5613e-17,0,0.020724
0.21,0,1.1102e-16,0,0,0,2.1684e-19,-0.0095227,-1.0093,-0.020567,-12.457,-47.45,-17.172,1.7638e-05,-0.00059342,-0.001343,-0.087813,-0.079139,0.077503,0.99924,0,5.5553e-17,0,0.020724
