 time,EqKm_x,EqKm_y,EqKm_z,Sens_x,Sens_y,Sens_z,a_x,a_y,a_z,m_x,m_y,m_z,g_x,g_y,g_z,Km_g_x,Km_g_y,Km_g_z,qKm_w,qKm_x,qKm_y,qKm_z 
0,0,0,0,-3.132,-0.020772,-1.3555e-20,-0.009707,-1.0083,-0.020949,-12.266,-47.45,-16.794,0.0024354,0.00060019,0.0010846,0,0,0,0,0,0,0
0.01,-0.78398,-1.5708+0.065446i,-0.78398,-3.132,-0.020583,-0.00023664,-0.009707,-1.0083,-0.020758,-12.266,-47.45,-16.794,-0.0012071,-0.00061201,0.001085,-0.1905,-0.19014,-0.1891,0.50266,-0.49983,-0.49983,-0.49983
0.02,-2.2975,-1.5708+0.082323i,0.72554,-3.1321,-0.020024,-0.00019275,-0.0095227,-1.0079,-0.020185,-12.457,-47.338,-17.078,0.001225,0.00061173,0.0010854,-0.10616,-0.10524,-0.01086,0.50059,-0.50176,-0.50051,-0.50053
0.03,-2.5059,-1.5708+0.086752i,0.92947,-3.1327,-0.020402,0.0012277,-0.0089695,-1.0079,-0.020567,-12.457,-47.338,-17.078,-0.0012033,-0.0018223,-0.0013425,-0.099521,-0.098305,0.061511,0.49916,-0.5048,-0.49988,-0.49993
0.04,-2.336,-1.5708+0.072493i,0.75416,-3.1329,-0.020394,-0.011329,-0.0087851,-1.0083,-0.020567,-12.744,-47.674,-16.983,0.001225,0.00060789,0.00109,-0.10201,-0.099832,0.091149,0.49805,-0.50893,-0.49777,-0.49791
0.05,-2.2829,-1.5708+0.04814i,0.69361,-3.1329,-0.020197,-0.01157,-0.0087851,-1.0087,-0.020376,-12.744,-47.674,-16.983,6.9565e-06,0.0006098,-0.0013417,-0.10506,-0.10165,0.099702,0.4965,-0.51475,-0.49487,-0.49514
0.06,-2.2834,-1.55,0.68402,-3.1322,-0.020001,0.0027259,-0.0095227,-1.0091,-0.020185,-12.648,-47.674,-17.456,0.0012249,-0.00060243,0.0010908,-0.10459,-0.10341,0.10335,0.49421,-0.52239,-0.49154,-0.49191
0.07,-2.2824,-1.5033,0.67123,-3.132,-0.020768,0.0033308,-0.009707,-1.0085,-0.020949,-12.648,-47.674,-17.456,-0.0012034,-0.00060437,0.0010912,-0.10571,-0.10338,0.10376,0.49153,-0.53141,-0.48743,-0.4879
0.08,-2.2785,-1.4676,0.65391,-3.1331,-0.020178,-0.0038059,-0.0086007,-1.0096,-0.020376,-12.744,-47.674,-17.267,-0.0011996,-0.00060246,-0.0013367,-0.10578,-0.10243,0.10158,0.48858,-0.54163,-0.48243,-0.48306
0.09,-2.2784,-1.4352,0.63877,-3.1322,-0.020756,-0.0046761,-0.0095227,-1.0091,-0.020949,-12.744,-47.674,-17.267,0.0012286,-0.00059672,0.001092,-0.10348,-0.10116,0.10164,0.48522,-0.55301,-0.47672,-0.47755
0.1,-2.2852,-1.4055,0.6288,-3.1327,-0.020575,0.0053244,-0.0089695,-1.0087,-0.020758,-12.553,-47.338,-17.361,0.0012324,-0.00059484,-0.00012559,-0.10171,-0.10013,0.099355,0.48133,-0.56557,-0.47058,-0.47152
0.11,-2.2925,-1.375,0.61795,-3.1322,-0.020568,0.0043766,-0.0095227,-1.0091,-0.020758,-12.553,-47.338,-17.361,-0.0011959,0.0018353,0.0010889,-0.10209,-0.097003,0.098413,0.47706,-0.57903,-0.46381,-0.46489
0.12,-2.3011,-1.3442,0.60715,-3.132,-0.020567,0.0052005,-0.009707,-1.0091,-0.020758,-12.457,-47.897,-17.267,-0.0024101,-0.0018091,-0.0001248,-0.1022,-0.09744,0.096058,0.47239,-0.59329,-0.45651,-0.45773
0.13,-2.3111,-1.3129,0.59647,-3.1321,-0.020772,0.0057588,-0.0095227,-1.0083,-0.020949,-12.457,-47.897,-17.267,0.0012322,-0.00059304,-0.0013424,-0.098855,-0.095527,0.09321,0.46732,-0.60823,-0.44874,-0.45008
0.14,-2.3227,-1.2813,0.58639,-3.1325,-0.019823,0.010784,-0.0091539,-1.0085,-0.019995,-12.171,-47.226,-17.078,-0.0011923,0.00062297,-0.00013167,-0.098426,-0.093047,0.091689,0.46183,-0.62372,-0.44062,-0.44202
0.15,-2.3348,-1.2491,0.57582,-3.132,-0.019827,0.0098192,-0.009707,-1.0083,-0.019995,-12.171,-47.226,-17.078,-0.0012,-0.0018034,0.0010867,-0.09737,-0.092592,0.090791,0.45599,-0.63963,-0.43209,-0.43356
0.16,-2.3453,-1.2156,0.56273,-3.1309,-0.020201,-0.010023,-0.010813,-1.0085,-0.020376,-12.744,-47.785,-17.172,1.7932e-05,-0.00059128,-0.00012702,-0.095855,-0.089559,0.089199,0.44997,-0.65576,-0.42287,-0.4247
0.17,-2.3575,-1.1821,0.55044,-3.1321,-0.020591,-0.0073435,-0.0095227,-1.0079,-0.020758,-12.744,-47.785,-17.172,-0.0011963,-0.00059324,0.0010875,-0.095195,-0.087347,0.087961,0.44354,-0.67212,-0.41343,-0.41561
0.18,-2.3715,-1.149,0.53945,-3.1327,-0.019441,0.0039939,-0.0089695,-1.0087,-0.019613,-12.553,-47.562,-17.361,1.7819e-05,-0.0005952,-0.00012622,-0.09273,-0.085668,0.084806,0.43668,-0.68859,-0.40398,-0.40629
